Region,Division,State,year,crime_rate
South,East South Central,Alabama,1960,6097.0
West,Pacific,Alaska,1960,236.0
West,Mountain,Arizona,1960,2704.0
South,West South Central,Arkansas,1960,1924.0
West,Pacific,California,1960,37558.0
West,Mountain,Colorado,1960,2408.0
Northeast,New England,Connecticut,1960,928.0
South,South Atlantic,Delaware,1960,375.0
South,South Atlantic,District of Columbia,1960,4230.0
South,South Atlantic,Florida,1960,11061.0
South,South Atlantic,Georgia,1960,6262.0
West,Pacific,Hawaii,1960,138.0
West,Mountain,Idaho,1960,255.0
Midwest,East North Central,Illinois,1960,36802.0
Midwest,East North Central,Indiana,1960,3945.0
Midwest,West North Central,Iowa,1960,656.0
Midwest,West North Central,Kansas,1960,1272.0
South,East South Central,Kentucky,1960,2957.0
South,West South Central,Louisiana,1960,4990.0
Northeast,New England,Maine,1960,289.0
South,South Atlantic,Maryland,1960,4691.0
Northeast,New England,Massachusetts,1960,2512.0
Midwest,East North Central,Michigan,1960,17034.0
Midwest,West North Central,Minnesota,1960,1435.0
South,East South Central,Mississippi,1960,2236.0
Midwest,West North Central,Missouri,1960,7468.0
West,Mountain,Montana,1960,453.0
Midwest,West North Central,Nebraska,1960,590.0
West,Mountain,Nevada,1960,416.0
Northeast,New England,New Hampshire,1960,81.0
Northeast,Middle Atlantic,New Jersey,1960,6932.0
West,Mountain,New Mexico,1960,1360.0
Northeast,Middle Atlantic,New York,1960,
South,South Atlantic,North Carolina,1960,10182.0
Midwest,West North Central,North Dakota,1960,90.0
Midwest,East North Central,Ohio,1960,8120.0
South,West South Central,Oklahoma,1960,2258.0
West,Pacific,Oregon,1960,1232.0
Northeast,Middle Atlantic,Pennsylvania,1960,11203.0
Northeast,New England,Rhode Island,1960,316.0
South,South Atlantic,South Carolina,1960,3424.0
Midwest,West North Central,South Dakota,1960,282.0
South,East South Central,Tennessee,1960,3250.0
South,West South Central,Texas,1960,15428.0
West,Mountain,Utah,1960,484.0
Northeast,New England,Vermont,1960,37.0
South,South Atlantic,Virginia,1960,7286.0
West,Pacific,Washington,1960,1616.0
South,South Atlantic,West Virginia,1960,1200.0
Midwest,East North Central,Wisconsin,1960,1261.0
West,Mountain,Wyoming,1960,362.0
South,East South Central,Alabama,1961,5564.0
West,Pacific,Alaska,1961,208.0
West,Mountain,Arizona,1961,2288.0
South,West South Central,Arkansas,1961,1809.0
West,Pacific,California,1961,38154.0
West,Mountain,Colorado,1961,2659.0
Northeast,New England,Connecticut,1961,878.0
South,South Atlantic,Delaware,1961,318.0
South,South Atlantic,District of Columbia,1961,4491.0
South,South Atlantic,Florida,1961,11376.0
South,South Atlantic,Georgia,1961,6269.0
West,Pacific,Hawaii,1961,161.0
West,Mountain,Idaho,1961,222.0
Midwest,East North Central,Illinois,1961,37156.0
Midwest,East North Central,Indiana,1961,4044.0
Midwest,West North Central,Iowa,1961,643.0
Midwest,West North Central,Kansas,1961,1282.0
South,East South Central,Kentucky,1961,2907.0
South,West South Central,Louisiana,1961,4508.0
Northeast,New England,Maine,1961,334.0
South,South Atlantic,Maryland,1961,4959.0
Northeast,New England,Massachusetts,1961,2777.0
Midwest,East North Central,Michigan,1961,16499.0
Midwest,West North Central,Minnesota,1961,1505.0
South,East South Central,Mississippi,1961,2274.0
Midwest,West North Central,Missouri,1961,7266.0
West,Mountain,Montana,1961,457.0
Midwest,West North Central,Nebraska,1961,586.0
West,Mountain,Nevada,1961,549.0
Northeast,New England,New Hampshire,1961,89.0
Northeast,Middle Atlantic,New Jersey,1961,6682.0
West,Mountain,New Mexico,1961,1278.0
Northeast,Middle Atlantic,New York,1961,
South,South Atlantic,North Carolina,1961,9275.0
Midwest,West North Central,North Dakota,1961,160.0
Midwest,East North Central,Ohio,1961,7986.0
South,West South Central,Oklahoma,1961,2437.0
West,Pacific,Oregon,1961,1242.0
